DATE,STATION,LEVEL,TIME STARTED (UTC),TIME ENDED (UTC),TOTAL TIME,cloud_friendly,clouds,pressure (mb),temp_air,temp_dewpoint,temp_perceived,relative_humidity,visibility (m),wind_direction,wind_friendly,wind_speed (KT),clouds_altitude,clouds_symbol,clouds_type,processtimestamp
5/15/2024  8:00:00 PM,RPLL,YELLOW,08:28:00 PM,08:44:00 PM,12:16:00 AM,Partly cloudy,"[{'altitude': 2500, 'symbol': 'FEW025', 'type': 'FEW', 'index': 478}]",1010.0,29,24,33,74,10000.0,10,Light winds,4,2500.0,FEW025,FEW,05/16/2024 18:01:08
5/20/2024  5:00:00 PM,RPLC,RED,05:08:00 PM,05:23:00 PM,12:15:00 AM,Partly cloudy,"[{'altitude': 2000, 'symbol': 'SCT020', 'type': 'SCT', 'index': 499}, {'altitude': 10000, 'symbol': 'BKN100', 'type': 'BKN', 'index': 499}]",1010,28.0,24.0,31.0,79.0,8000,310,Calm winds,2,10000.0,BKN100,BKN,05/21/2024 06:01:28
5/24/2024  2:00:00 PM,RPLL,YELLOW,02:14:00 PM,02:34:00 PM,12:20:00 AM,Partly cloudy,"[{'altitude': 2500, 'symbol': 'FEW025', 'type': 'FEW', 'index': 22}, {'altitude': 10000, 'symbol': 'BKN100', 'type': 'BKN', 'index': 22}]",1010.0,31.0,25.0,36.0,71.0,10000.0,120,Light winds,5,10000.0,BKN100,BKN,05/25/2024 06:01:38
6/1/2024  4:00:00 PM,RPMD,RED,04:13:00 PM,04:36:00 PM,12:23:00 AM,Partly cloudy,"[{'altitude': 1600, 'symbol': 'FEW016', 'type': 'FEW', 'index': 155}, {'altitude': 9000, 'symbol': 'BKN090', 'type': 'BKN', 'index': 155}]",1011.0,27,25,29,89,10000.0,0,Calm winds,2,9000.0,BKN090,BKN,06/02/2024 06:01:30
6/13/2024  7:00:00 AM,RPVM,YELLOW,07:37:00 AM,09:08:00 AM,01:31:00 AM,Partly cloudy,"[{'altitude': 2000, 'symbol': 'FEW020', 'type': 'FEW', 'index': 14}, {'altitude': 10000, 'symbol': 'BKN100', 'type': 'BKN', 'index': 14}]",1008.0,31,25,36,71,10000,140,Light winds,5,10000.0,BKN100,BKN,06/14/2024 06:01:05
6/20/2024  5:00:00 PM,RPVM,YELLOW,05:46:00 PM,06:58:00 PM,01:12:00 AM,Overcast skies,"[{'altitude': 2000, 'symbol': 'SCT020', 'type': 'SCT', 'index': 20}, {'altitude': 10000, 'symbol': 'OVC100', 'type': 'OVC', 'index': 20}]",1008.0,26,24,26,89,10000.0,190,Calm winds,3,10000.0,OVC100,OVC,06/21/2024 06:01:03
6/26/2024  5:00:00 AM,RPVM,YELLOW,05:31:00 AM,06:12:00 AM,12:41:00 AM,Raining,"[{'altitude': 2000, 'symbol': 'SCT020', 'type': 'SCT', 'index': 244}, {'altitude': 8000, 'symbol': 'OVC080', 'type': 'OVC', 'index': 244}]",1010.0,29.0,24.0,33.0,74.0,9000.0,60,Light winds,7,8000.0,OVC080,OVC,06/26/2024 18:01:05
6/27/2024  3:00:00 PM,RPLC,AMBER,03:05:00 PM,03:35:00 PM,12:30:00 AM,Raining,"[{'altitude': 2000, 'symbol': 'SCT020', 'type': 'SCT', 'index': 291}, {'altitude': 10000, 'symbol': 'OVC100', 'type': 'OVC', 'index': 291}]",1014.0,26,25,26,94,8000,270,Calm winds,2,10000.0,OVC100,OVC,06/28/2024 06:01:04
6/27/2024  3:00:00 PM,RPLC,RED,03:36:00 PM,03:55:00 PM,12:19:00 AM,Raining,"[{'altitude': 2000, 'symbol': 'SCT020', 'type': 'SCT', 'index': 291}, {'altitude': 10000, 'symbol': 'OVC100', 'type': 'OVC', 'index': 291}]",1014.0,26,25,26,94,8000,270,Calm winds,2,10000.0,OVC100,OVC,06/28/2024 06:01:04
6/27/2024  3:00:00 PM,RPLC,AMBER,03:56:00 PM,04:16:00 PM,12:20:00 AM,Raining,"[{'altitude': 2000, 'symbol': 'SCT020', 'type': 'SCT', 'index': 291}, {'altitude': 10000, 'symbol': 'OVC100', 'type': 'OVC', 'index': 291}]",1014.0,26,25,26,94,8000,270,Calm winds,2,10000.0,OVC100,OVC,06/28/2024 06:01:04
6/29/2024  3:00:00 PM,RPLC,RED,03:43:00 PM,03:59:00 PM,12:16:00 AM,Partly cloudy,"[{'altitude': 2000, 'symbol': 'SCT020', 'type': 'SCT', 'index': 366}]",1013.0,28.0,24.0,31.0,79.0,10000,320,Light winds,4,2000.0,SCT020,SCT,06/30/2024 06:01:07
6/29/2024  4:00:00 PM,RPLC,AMBER,04:00:00 PM,04:12:00 PM,12:12:00 AM,Partly cloudy,"[{'altitude': 2000, 'symbol': 'FEW020', 'type': 'FEW', 'index': 365}]",1012.0,28.0,25.0,32.0,84.0,10000,300,Calm winds,2,2000.0,FEW020,FEW,06/30/2024 06:01:07
6/29/2024  6:00:00 PM,RPMD,RED,06:27:00 PM,06:42:00 PM,12:15:00 AM,Partly cloudy,"[{'altitude': 1600, 'symbol': 'FEW016', 'type': 'FEW', 'index': 3}, {'altitude': 26000, 'symbol': 'SCT260', 'type': 'SCT', 'index': 3}]",1010.0,26.0,26.0,26.0,100.0,10000,0,Calm winds,1,26000.0,SCT260,SCT,06/30/2024 06:01:07
6/29/2024  1:00:00 PM,RPLL,YELLOW,01:18:00 PM,01:59:00 PM,12:41:00 AM,Partly cloudy,"[{'altitude': 2300, 'symbol': 'FEW023', 'type': 'FEW', 'index': 488}, {'altitude': 2500, 'symbol': 'SCT025', 'type': 'SCT', 'index': 488}, {'altitude': 10000, 'symbol': 'BKN100', 'type': 'BKN', 'index': 488}]",1011.0,31.0,25.0,36.0,71.0,10000,110,Light winds,5,10000.0,BKN100,BKN,06/30/2024 06:01:07
6/29/2024  2:00:00 PM,RPLL,YELLOW,02:18:00 PM,02:32:00 PM,12:14:00 AM,Partly cloudy,"[{'altitude': 2300, 'symbol': 'FEW023', 'type': 'FEW', 'index': 487}, {'altitude': 2500, 'symbol': 'SCT025', 'type': 'SCT', 'index': 487}, {'altitude': 10000, 'symbol': 'BKN100', 'type': 'BKN', 'index': 487}]",1012.0,31.0,25.0,36.0,71.0,10000,110,Light winds,4,10000.0,BKN100,BKN,06/30/2024 06:01:07
6/30/2024  2:00:00 PM,RPLL,YELLOW,02:16:00 PM,03:00:00 PM,12:44:00 AM,Partly cloudy,"[{'altitude': 2500, 'symbol': 'FEW025', 'type': 'FEW', 'index': 397}]",1010.0,28.0,26.0,32.0,89.0,10000,90,Light winds,4,2500.0,FEW025,FEW,07/01/2024 06:01:02
7/9/2024  4:00:00 PM,RPLC,RED,04:39:00 PM,06:56:00 PM,02:17:00 AM,Partly cloudy,"[{'altitude': 2000, 'symbol': 'FEW020', 'type': 'FEW', 'index': 425}]",1012,25.0,24.0,25.0,94.0,8000.0,180,Light winds,4,2000.0,FEW020,FEW,07/10/2024 06:01:05
8/17/2023  12:00:00 AM,RPLL,YELLOW,12:37:00 AM,01:25:00 AM,12:48:00 AM,Partly cloudy,"[{'altitude': 2300, 'symbol': 'SCT023', 'type': 'SCT', 'index': 447}, {'altitude': 10000, 'symbol': 'SCT100', 'type': 'SCT', 'index': 447}]",1009.0,29,26,35,84,10000.0,260,Light winds,7,10000.0,SCT100,SCT,08/17/2023 20:41:55
8/17/2023  2:00:00 AM,RPLL,YELLOW,02:32:00 AM,03:09:00 AM,12:37:00 AM,Partly cloudy,"[{'altitude': 2500, 'symbol': 'FEW025', 'type': 'FEW', 'index': 445}, {'altitude': 10000, 'symbol': 'SCT100', 'type': 'SCT', 'index': 445}]",1009.0,30,26,37,79,10000.0,270,Windy,13,2500.0,FEW025,FEW,08/17/2023 20:41:55
8/17/2023  3:00:00 AM,RPLL,YELLOW,03:13:00 AM,03:58:00 AM,12:45:00 AM,Partly cloudy,"[{'altitude': 2300, 'symbol': 'FEW023', 'type': 'FEW', 'index': 444}, {'altitude': 2500, 'symbol': 'SCT025', 'type': 'SCT', 'index': 444}]",1009.0,31,26,37,75,10000.0,0,Calm winds,0,2500.0,SCT025,SCT,08/17/2023 20:41:55
8/22/2023  4:00:00 PM,RPVM,YELLOW,04:35:00 PM,04:48:00 PM,12:13:00 AM,Overcast skies,"[{'altitude': 2000, 'symbol': 'SCT020', 'type': 'SCT', 'index': 216}, {'altitude': 10000, 'symbol': 'OVC100', 'type': 'OVC', 'index': 216}]",1011,26,25,26,94,10000,250,Light winds,6,10000.0,OVC100,OVC,08/23/2023 06:34:53
8/22/2023  4:00:00 PM,RPVM,RED,04:49:00 PM,06:16:00 PM,01:27:00 AM,Overcast skies,"[{'altitude': 2000, 'symbol': 'SCT020', 'type': 'SCT', 'index': 216}, {'altitude': 10000, 'symbol': 'OVC100', 'type': 'OVC', 'index': 216}]",1011,26,25,26,94,10000,250,Light winds,6,10000.0,OVC100,OVC,08/23/2023 06:34:53
8/22/2023  6:00:00 PM,RPVM,YELLOW,06:17:00 PM,07:38:00 PM,01:21:00 AM,Partly cloudy,"[{'altitude': 2000, 'symbol': 'FEW020', 'type': 'FEW', 'index': 214}, {'altitude': 10000, 'symbol': 'BKN100', 'type': 'BKN', 'index': 214}]",1010,26,25,26,94,10000,210,Calm winds,3,10000.0,BKN100,BKN,08/23/2023 06:34:53
8/22/2023  7:00:00 PM,RPLL,YELLOW,07:00:00 PM,07:46:00 PM,12:46:00 AM,Partly cloudy,"[{'altitude': 2300, 'symbol': 'SCT023', 'type': 'SCT', 'index': 449}, {'altitude': 10000, 'symbol': 'BKN100', 'type': 'BKN', 'index': 449}]",1008.0,27.0,26.0,30.0,94.0,9000.0,110,Calm winds,2,10000.0,BKN100,BKN,08/23/2023 18:02:04
